song_id,song_title,artist_band,duration,spotify_url,spotify_uri
6uNoZHfL7rSzdhe1Rkpmuu,I Can - Acoustic Version,Donna Cruz,4:02,https://open.spotify.com/track/6uNoZHfL7rSzdhe1Rkpmuu,spotify:track:6uNoZHfL7rSzdhe1Rkpmuu
5Tph8mWN5gtmFnoDdrQZYr,Ikaw Ang Miss Universe Ng Buhay KO,Hotdog,4:06,https://open.spotify.com/track/5Tph8mWN5gtmFnoDdrQZYr,spotify:track:5Tph8mWN5gtmFnoDdrQZYr
7dV6uc0lxZwqV4fiuXG0rR,Si Tatang,Florante,2:58,https://open.spotify.com/track/7dV6uc0lxZwqV4fiuXG0rR,spotify:track:7dV6uc0lxZwqV4fiuXG0rR
2k4vWDfRBybW7io7GaDzh5,"Isang Mundo, Isang Awit",Leah Navarro,2:27,https://open.spotify.com/track/2k4vWDfRBybW7io7GaDzh5,spotify:track:2k4vWDfRBybW7io7GaDzh5
5Mv2nEV09z7POtKqSem4mg,Pangako,RICO J PUNO,4:28,https://open.spotify.com/track/6fwK7p1RUEJhVAr1YqkL5k,spotify:track:5Mv2nEV09z7POtKqSem4mg
3mrcC9evyL4c5Dxjj7tzjG,Lalake,Hagibis,4:27,https://open.spotify.com/track/3mrcC9evyL4c5Dxjj7tzjG,spotify:track:3mrcC9evyL4c5Dxjj7tzjG
1rAsmlUQT3PcjlQJXs82J3,Ikaw Pa Rin,Tito Mina,2:47,https://open.spotify.com/track/1rAsmlUQT3PcjlQJXs82J3,spotify:track:1rAsmlUQT3PcjlQJXs82J3
4HrFDg5eOE6jvkxUCB4YBR,Dahil Mahal Kita,The Boyfriends,3:16,https://open.spotify.com/track/4HrFDg5eOE6jvkxUCB4YBR,spotify:track:4HrFDg5eOE6jvkxUCB4YBR
7k5eE1kuQUocDLfolTd6EG,Can't Say Goodbye to You,Janet Basco,3:44,https://open.spotify.com/track/7k5eE1kuQUocDLfolTd6EG,spotify:track:7k5eE1kuQUocDLfolTd6EG
5pJzLs0YCSrqjx228bWPol,Sa Aking Pag-Iisa,Cinderella,3:03,https://open.spotify.com/track/5pJzLs0YCSrqjx228bWPol,spotify:track:5pJzLs0YCSrqjx228bWPol
558qw6AWttdRErhkpE6crN,Habang Buhay Kitang Mamahalin,Yolly Samson,3:09,https://open.spotify.com/track/558qw6AWttdRErhkpE6crN,spotify:track:558qw6AWttdRErhkpE6crN
6EgWy3r2lePbyqBru8dJLL,Ano Ang Gagawin,Eva Eugenio,3:28,https://open.spotify.com/track/6EgWy3r2lePbyqBru8dJLL,spotify:track:6EgWy3r2lePbyqBru8dJLL
3J5NN2yxIvqzG5WbpCID1D,Miss Maganda,Various Artists,3:54,https://open.spotify.com/track/3J5NN2yxIvqzG5WbpCID1D,spotify:track:3J5NN2yxIvqzG5WbpCID1D
2gAfUhhKwPAYJlIbQxTKf6,Nosi Balasi,Sampaguita,4:23,https://open.spotify.com/track/2gAfUhhKwPAYJlIbQxTKf6,spotify:track:2gAfUhhKwPAYJlIbQxTKf6
5xFIkvs3t1jhuTUJ5tydte,"Awitin Mo, Isasayaw ko",VST & Company,4:37,https://open.spotify.com/track/5xFIkvs3t1jhuTUJ5tydte,spotify:track:5xFIkvs3t1jhuTUJ5tydte
7DYrRuwWpwbDexHyoccNEl,Walang Kapalit,REY VALERA,3:42,https://open.spotify.com/track/7DYrRuwWpwbDexHyoccNEl,spotify:track:7DYrRuwWpwbDexHyoccNEl
34MNaUHeSuFZ0gVAxg3uXb,Will You Ever Learn,Typecast,4:42,https://open.spotify.com/track/34MNaUHeSuFZ0gVAxg3uXb,spotify:track:34MNaUHeSuFZ0gVAxg3uXb
3UAtn247mx5jERwy5XcEHU,Ang Ating Araw,Dicta License,3:38,https://open.spotify.com/track/3UAtn247mx5jERwy5XcEHU,spotify:track:3UAtn247mx5jERwy5XcEHU
7MbgKSEY18UopAEaQNJ81D,Define,Hilera,3:11,https://open.spotify.com/track/7MbgKSEY18UopAEaQNJ81D,spotify:track:7MbgKSEY18UopAEaQNJ81D
4ktC5FPH2SPFNWDv2ADxtj,Your Puppet And Clown,Greyhoundz,5:05,https://open.spotify.com/track/4ktC5FPH2SPFNWDv2ADxtj,spotify:track:4ktC5FPH2SPFNWDv2ADxtj
7vkiSgBMEWZC5TUBmdoDEZ,Psycho Sya,Giniling Festival,2:51,https://open.spotify.com/track/7vkiSgBMEWZC5TUBmdoDEZ,spotify:track:7vkiSgBMEWZC5TUBmdoDEZ
5gEqWdZ9fKDYrXmuBnC5s7,Dito Tayo Sa Dilim,Pedicab,3:00,https://open.spotify.com/track/5gEqWdZ9fKDYrXmuBnC5s7,spotify:track:5gEqWdZ9fKDYrXmuBnC5s7
0YWtUuvO3vCIKrYl9qFwEO,Paris,Chicosci,3:59,https://open.spotify.com/track/0YWtUuvO3vCIKrYl9qFwEO,spotify:track:0YWtUuvO3vCIKrYl9qFwEO
4tEaCWhyfakRBFgo1TFVkD,Linda Blair,Tanya Markova,3:55,https://open.spotify.com/track/4tEaCWhyfakRBFgo1TFVkD,spotify:track:4tEaCWhyfakRBFgo1TFVkD
21mDcvLY9xdkNpNvN6Cy1y,The Fight Is Over,Urbandub,4:25,https://open.spotify.com/track/32HEYzKmuHGYciowA94G8C,spotify:track:21mDcvLY9xdkNpNvN6Cy1y
1KQqhdhUwfRT8AnSekgmF6,Hindi Na Makita,WilaBaliW,3:07,https://open.spotify.com/track/1KQqhdhUwfRT8AnSekgmF6,spotify:track:1KQqhdhUwfRT8AnSekgmF6
4gjKE5UxxtjIMu4qCJ3pzU,Alak Sugal Kape Babae Kabaong,Radioactive Sago Project,6:32,https://open.spotify.com/track/4gjKE5UxxtjIMu4qCJ3pzU,spotify:track:4gjKE5UxxtjIMu4qCJ3pzU
0GQjTATSapMJFHoKXiqprG,Anghel,Stonefree,3:38,https://open.spotify.com/track/0GQjTATSapMJFHoKXiqprG,spotify:track:0GQjTATSapMJFHoKXiqprG
1tVOhTFOtqVMmsDAJoMeja,Tensionado,Soapdish,3:16,https://open.spotify.com/track/1tVOhTFOtqVMmsDAJoMeja,spotify:track:1tVOhTFOtqVMmsDAJoMeja
1pPNAa4IISXg1QY0ZEveRD,One Look,Kjwan,3:25,https://open.spotify.com/track/1pPNAa4IISXg1QY0ZEveRD,spotify:track:1pPNAa4IISXg1QY0ZEveRD
6G1sBC2qkSEv9yjNilfFgD,Mouthful,Faspitch,4:40,https://open.spotify.com/track/6G1sBC2qkSEv9yjNilfFgD,spotify:track:6G1sBC2qkSEv9yjNilfFgD
6ltmSDXFwI3A16dpcwtGq2,Halik Ni Hudas,Wolfgang,3:31,https://open.spotify.com/track/6ltmSDXFwI3A16dpcwtGq2,spotify:track:6ltmSDXFwI3A16dpcwtGq2
7ixwaKzJVzmnMfp4VnLpy0,Giyang,Razorback,3:49,https://open.spotify.com/track/7ixwaKzJVzmnMfp4VnLpy0,spotify:track:7ixwaKzJVzmnMfp4VnLpy0
1BFy3fswgsdcG3mVsscq3I,Laklak,Teeth,4:06,https://open.spotify.com/track/1BFy3fswgsdcG3mVsscq3I,spotify:track:1BFy3fswgsdcG3mVsscq3I
0wqkV6gLdeoHGjJLe4eHIX,Cool Off,Session Road,3:41,https://open.spotify.com/track/0wqkV6gLdeoHGjJLe4eHIX,spotify:track:0wqkV6gLdeoHGjJLe4eHIX
0jbqNABkPLRNF0cNxvHAbM,Ale,The Bloomfields,3:50,https://open.spotify.com/track/0jbqNABkPLRNF0cNxvHAbM,spotify:track:0jbqNABkPLRNF0cNxvHAbM
54dLUlnBR8t65SnlcK8F74,Sugod,Sandwich,3:00,https://open.spotify.com/track/54dLUlnBR8t65SnlcK8F74,spotify:track:54dLUlnBR8t65SnlcK8F74
0bFIvi4T9dMLOrl1dbahJZ,Lutang,Ely Buendia,4:32,https://open.spotify.com/track/0bFIvi4T9dMLOrl1dbahJZ,spotify:track:0bFIvi4T9dMLOrl1dbahJZ
1F8cTgBNmRxk6sqTA4n9QT,Sigurado,"Oh, Flamingo!",3:12,https://open.spotify.com/track/1F8cTgBNmRxk6sqTA4n9QT,spotify:track:1F8cTgBNmRxk6sqTA4n9QT
6PyTAClYioGtqNnJNmEwgF,Salamat,The Dawn,3:48,https://open.spotify.com/track/6PyTAClYioGtqNnJNmEwgF,spotify:track:6PyTAClYioGtqNnJNmEwgF
1yLFnEUfKDGCDeXcp1nIem,Magpakailanman,Rocksteddy,5:26,https://open.spotify.com/track/1yLFnEUfKDGCDeXcp1nIem,spotify:track:1yLFnEUfKDGCDeXcp1nIem
3fuv6EQdmqKtNtZlEdt2wp,Kai,Maryzark,4:29,https://open.spotify.com/track/3fuv6EQdmqKtNtZlEdt2wp,spotify:track:3fuv6EQdmqKtNtZlEdt2wp
0avEP6eZxABDbk7651LWNx,Forever Young,Valley of Chrome,4:38,https://open.spotify.com/track/0avEP6eZxABDbk7651LWNx,spotify:track:0avEP6eZxABDbk7651LWNx
5INbUsWQohnQ6L0HMRqJiq,Cariño Brutal,Slapshock,4:25,https://open.spotify.com/track/5INbUsWQohnQ6L0HMRqJiq,spotify:track:5INbUsWQohnQ6L0HMRqJiq
25mXcC6MeDYaJPjVj5GCWu,Sundo,Imago,4:03,https://open.spotify.com/track/25mXcC6MeDYaJPjVj5GCWu,spotify:track:25mXcC6MeDYaJPjVj5GCWu
4bSV9Iku7w5wq7CZ2Qdhzs,Better Days,FRANCO,5:01,https://open.spotify.com/track/4bSV9Iku7w5wq7CZ2Qdhzs,spotify:track:4bSV9Iku7w5wq7CZ2Qdhzs
1HKbeY973klGRK2TFLmSd9,To Hold Everything Above,Imbue No Kudos,5:36,https://open.spotify.com/track/1HKbeY973klGRK2TFLmSd9,spotify:track:1HKbeY973klGRK2TFLmSd9
49jber4zzUDKhszkl4y8Vw,Panaginip,P.O.T.,4:25,https://open.spotify.com/track/49jber4zzUDKhszkl4y8Vw,spotify:track:49jber4zzUDKhszkl4y8Vw
04k8msdaFjYXfehLG8w77A,Nasaan Ka?,Pupil,3:04,https://open.spotify.com/track/04k8msdaFjYXfehLG8w77A,spotify:track:04k8msdaFjYXfehLG8w77A
2oIO3EUdGXJrPD2Y1xkBjV,Pagbabalik Ng Kwago,Kapatid,2:32,https://open.spotify.com/track/2oIO3EUdGXJrPD2Y1xkBjV,spotify:track:2oIO3EUdGXJrPD2Y1xkBjV
2JK6ggb7dJ163vLrvcY8Ad,Bilango,Rizal Underground,4:19,https://open.spotify.com/track/2JK6ggb7dJ163vLrvcY8Ad,spotify:track:2JK6ggb7dJ163vLrvcY8Ad
6BdG5SX55TnuqDZcNXHaF2,Pulso,Salamin,4:44,https://open.spotify.com/track/6BdG5SX55TnuqDZcNXHaF2,spotify:track:6BdG5SX55TnuqDZcNXHaF2
2HKa2bI3vAfFy9DSR1LPFp,Delubyo (Tower Sessions Live),SkyChurch,4:08,https://open.spotify.com/track/2HKa2bI3vAfFy9DSR1LPFp,spotify:track:2HKa2bI3vAfFy9DSR1LPFp
6ysk8CQWlDHCqxgAQn1zLk,Gusto KO Ng Baboy,The Radioactive Sago Project,6:10,https://open.spotify.com/track/6ysk8CQWlDHCqxgAQn1zLk,spotify:track:6ysk8CQWlDHCqxgAQn1zLk
